,0
0,1250
1,1250
2,1682
3,199
4,64
5,64
6,64
7,64
8,64
9,64
10,64
11,64
12,907
13,907
14,907
15,907
16,907
17,907
18,907
19,907
20,1007
21,1007
22,1007
23,1007
24,1007
25,1007
26,1007
27,1007
28,106
29,106
30,1075
31,120
32,120
33,120
34,120
35,120
36,120
37,120
38,120
39,120
40,120
41,120
42,120
43,120
44,120
45,120
46,120
47,120
48,120
49,120
50,120
51,120
52,120
53,120
54,120
55,120
56,120
57,120
58,124
59,1250
60,1250
61,1250
62,1250
63,1250
64,1250
65,1250
66,1250
67,1250
68,1250
69,1250
70,1250
71,1250
72,1250
73,1250
74,1250
75,1250
76,1250
77,1250
78,1250
79,1307
80,1307
81,1307
82,1307
83,1307
84,1307
85,1307
86,1334
87,1334
88,1547
89,1547
90,1547
91,1547
92,1547
93,1547
94,1547
95,1547
96,1547
97,1550
98,1550
99,1550
100,1550
101,1550
102,157
103,157
104,157
105,157
106,157
107,157
108,157
109,157
110,157
111,157
112,157
113,157
114,157
115,157
116,157
117,157
118,157
119,1650
120,1650
121,1650
122,1650
123,1650
124,1693
125,1693
126,1693
127,1693
128,1693
129,1693
130,1727
131,1727
132,1727
133,1727
134,1727
135,1727
136,1727
137,1727
138,1727
139,1727
140,1727
141,1727
142,1727
143,1727
144,1727
145,1727
146,1727
147,1727
148,1727
149,1727
150,1727
151,1727
152,1818
153,1818
154,1818
155,1818
156,1818
157,1818
158,1818
159,1818
160,1818
161,1818
162,1828
163,1828
164,1828
165,1828
166,1828
167,1828
168,1828
169,1828
170,1828
171,1828
172,1828
173,1828
174,1828
175,1828
176,1828
177,1828
178,1828
179,1828
180,1828
181,1828
182,1828
183,1828
184,1828
185,1828
186,1828
187,1828
188,1828
189,1828
190,1828
191,1828
192,1828
193,1828
194,1828
195,1828
196,1828
197,1828
198,1828
199,1828
200,1828
201,1828
202,1828
203,1828
204,1828
205,1828
206,1828
207,1828
208,1828
209,1828
210,1871
211,1871
212,1871
213,1871
214,1871
215,1871
216,1871
217,199
218,199
219,199
220,199
221,199
222,199
223,199
224,199
225,199
226,28
227,305
228,322
229,322
230,322
231,322
232,322
233,322
234,322
235,322
236,372
237,372
238,434
239,480
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,50
251,50
252,50
253,50
254,50
255,50
256,50
257,50
258,531
259,531
260,537
261,537
262,542
263,542
264,542
265,542
266,620
267,620
268,620
269,646
270,646
271,646
272,646
273,646
274,712
275,712
276,738
277,760
278,760
279,764
280,764
281,764
282,764
283,764
284,764
285,764
286,764
287,764
288,764
289,764
290,764
291,764
292,764
293,764
294,764
295,764
296,764
297,764
298,764
299,764
300,764
301,764
302,764
303,764
304,764
305,764
306,764
307,764
308,764
309,764
310,764
311,764
312,764
313,764
314,764
315,764
316,764
317,764
318,764
319,764
320,764
321,764
322,764
323,764
324,764
325,764
326,764
327,764
328,764
329,764
330,764
331,764
332,764
333,764
334,764
335,774
336,790
337,790
338,822
339,827
340,827
341,827
342,827
343,827
344,827
345,827
346,827
347,827
348,835
349,835
350,835
351,835
352,895
353,895
354,895
355,895
356,895
357,895
358,906
359,929
360,929
361,929
362,929
363,929
364,929
365,929
366,929
367,950
368,950
369,950
370,950
371,950
372,950
373,950
374,950
375,950
376,978
377,995
378,995
379,995
380,995
381,997
382,997
383,997
384,997
385,997
386,997
387,997
388,997
389,997
390,997
391,997
392,997
393,997
394,997
395,997
396,997
